WLMouse Beast X Mini Omron Optical (unit 1) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - Mouse 1 Held
3200
xCount,yCount,Time (ms),buttonflags
-1,-2,0,0
0,-3,0.0073,0
-1,-3,0.0109,0
-1,-3,0.0144,0
0,-3,0.018,0
-1,-3,0.0214,0
0,-2,0.0315,0
-1,-4,0.3348,0
0,-3,0.3404,0
-1,-3,0.3624,0
-1,-2,0.4821,0
0,-4,0.943,0
0,-2,0.9499,0
-1,-4,0.9639,0
0,-2,0.9735,0
-1,-3,1.0796,0
0,-3,1.2038,0
0,-4,1.3396,0
-1,-2,1.4549,0
0,-4,1.5837,0
-1,-2,1.7045,0
0,-3,1.8287,0
-1,-3,1.9536,0
0,-3,2.0808,0
0,-3,2.2036,0
0,-3,2.3289,0
-1,-2,2.4538,0
0,-3,2.5778,0
0,-3,2.7028,0
0,-3,2.8277,0
0,-3,2.9528,0
0,-3,3.0777,0
0,-3,3.2026,0
0,-4,3.3278,0
-1,-2,3.4528,0
0,-3,3.5777,0
0,-3,3.7028,0
0,-4,3.8278,0
0,-2,3.953,0
0,-3,4.0777,0
0,-3,4.2027,0
0,-3,4.3277,0
0,-3,4.4527,0
0,-3,4.5777,0
0,-3,4.703,0
0,-3,4.8277,0
0,-3,4.9527,0
0,-3,5.0777,0
0,-3,5.2028,0
0,-4,5.3279,0
0,-2,5.4529,0
0,-3,5.5777,0
0,-3,5.7033,0
0,-4,5.8275,0
0,-2,5.9527,0
0,-4,6.0777,0
0,-2,6.2041,0
0,-4,6.3284,0
0,-2,6.4528,0
1,-4,6.5776,0
0,-2,6.7027,0
0,-4,6.8276,0
0,-2,6.9527,0
0,-4,7.0777,0
0,-2,7.2034,0
1,-4,7.3278,0
0,-2,7.4528,0
0,-4,7.578,0
1,-3,7.7026,0
1,-3,7.8278,0
0,-2,7.9528,0
0,-4,8.0776,0
0,-3,8.2026,0
0,-3,8.3276,0
1,-2,8.4526,0
0,-4,8.5776,0
1,-3,8.7027,0
0,-3,8.8276,0
1,-3,8.9526,0
0,-3,9.0776,0
1,-3,9.2028,0
1,-4,9.3277,0
0,-2,9.4592,0
1,-3,9.5803,0
0,-3,9.7049,0
1,-4,9.8298,0
0,-2,9.9549,0
1,-4,10.0803,0
0,-2,10.2048,0
1,-4,10.3297,0
1,-3,10.4548,0
1,-3,10.5777,0
0,-2,10.7027,0
1,-4,10.8278,0
0,-3,10.9528,0
1,-3,11.0778,0
1,-3,11.2027,0
1,-4,11.3277,0
1,-2,11.4528,0
1,-3,11.5779,0
0,-3,11.703,0
1,-4,11.8278,0
1,-2,11.9527,0
1,-3,12.0777,0
0,-3,12.2028,0
1,-4,12.3278,0
1,-2,12.453,0
1,-3,12.5777,0
1,-3,12.7027,0
1,-4,12.8277,0
1,-2,12.9527,0
1,-4,13.078,0
1,-3,13.2029,0
1,-3,13.3278,0
2,-4,13.4527,0
0,-2,13.5777,0
1,-3,13.7027,0
1,-3,13.8278,0
1,-3,13.9531,0
1,-3,14.0779,0
1,-3,14.2028,0
2,-4,14.3277,0
1,-2,14.4527,0
1,-4,14.5777,0
1,-2,14.7028,0
2,-4,14.8278,0
0,-2,14.9527,0
2,-3,15.0777,0
1,-3,15.2028,0
2,-3,15.3349,0
1,-4,15.4534,0
2,-3,15.5779,0
0,-2,15.7035,0
2,-4,15.8278,0
1,-3,15.9527,0
2,-4,16.0776,0
1,-2,16.2027,0
2,-3,16.3277,0
1,-3,16.4528,0
1,-4,16.5777,0
2,-2,16.7028,0
1,-3,16.8277,0
2,-3,16.953,0
1,-4,17.0779,0
2,-2,17.2027,0
1,-4,17.3276,0
2,-2,17.4527,0
2,-4,17.5776,0
0,-2,17.7027,0
3,-4,17.8352,0
1,-2,17.9534,0
2,-4,18.0777,0
1,-2,18.2028,0
2,-4,18.3278,0
1,-3,18.4527,0
2,-4,18.5777,0
1,-2,18.7045,0
3,-3,18.8278,0
1,-3,18.9528,0
2,-4,19.0777,0
1,-2,19.2027,0
2,-4,19.3278,0
2,-2,19.454,0
2,-4,19.578,0
1,-2,19.7027,0
2,-4,19.8277,0
2,-2,19.9527,0
2,-4,20.0776,0
1,-2,20.203,0
3,-4,20.3276,0
1,-2,20.4529,0
2,-4,20.5776,0
2,-2,20.7028,0
2,-4,20.828,0
2,-3,20.9529,0
2,-3,21.0777,0
2,-3,21.2027,0
2,-3,21.3277,0
2,-3,21.4528,0
2,-3,21.5775,0
2,-3,21.703,0
2,-4,21.828,0
2,-2,21.9528,0
2,-4,22.0778,0
2,-2,22.2028,0
3,-4,22.3277,0
1,-2,22.4528,0
3,-4,22.5779,0
1,-3,22.7028,0
3,-3,22.8278,0
2,-3,22.9528,0
2,-4,23.078,0
2,-2,23.2028,0
3,-3,23.3277,0
2,-3,23.4527,0
2,-3,23.5777,0
2,-3,23.7027,0
3,-3,23.8276,0
2,-3,23.9527,0
2,-4,24.0777,0
2,-2,24.2028,0
3,-4,24.3279,0
3,-3,24.4528,0
2,-3,24.5778,0
2,-3,24.703,0
2,-3,24.8278,0
3,-4,24.9527,0
2,-2,25.0776,0
3,-3,25.2027,0
2,-3,25.3277,0
