WLMouse Beast X Mini Omron Optical (unit 1) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - Mouse 1+2 Held
3200
xCount,yCount,Time (ms),buttonflags
7,1,0,0
8,0,0.0048,0
5,1,0.0133,0
4,0,0.0289,0
8,0,0.0414,0
5,0,0.0449,0
7,1,0.0484,0
7,0,0.0685,0
5,0,0.3478,0
7,1,0.3529,0
5,0,0.4688,0
8,0,0.9489,0
5,0,0.9551,0
7,1,0.9648,0
5,1,0.9742,0
7,0,1.068,0
5,0,1.1919,0
7,1,1.3169,0
5,0,1.4417,0
8,1,1.5668,0
5,0,1.7029,0
7,1,1.8194,0
5,0,1.9434,0
7,0,2.068,0
5,1,2.1911,0
8,1,2.316,0
4,0,2.4409,0
7,1,2.566,0
5,0,2.6909,0
8,1,2.8161,0
4,0,2.941,0
8,1,3.0659,0
5,0,3.1908,0
7,1,3.3159,0
5,0,3.4409,0
7,1,3.5659,0
5,0,3.691,0
7,1,3.8159,0
6,1,3.9409,0
7,1,4.0659,0
5,0,4.1912,0
7,1,4.3159,0
5,0,4.4411,0
7,1,4.5659,0
5,1,4.6908,0
7,1,4.8159,0
5,0,4.9408,0
8,1,5.0662,0
5,1,5.191,0
7,1,5.3159,0
4,0,5.441,0
8,1,5.566,0
4,1,5.6908,0
8,1,5.8161,0
5,0,5.9411,0
7,1,6.0661,0
5,1,6.1916,0
7,1,6.316,0
5,1,6.4409,0
7,0,6.5659,0
5,1,6.6911,0
7,1,6.8159,0
5,1,6.9409,0
8,1,7.0658,0
4,1,7.1909,0
7,1,7.316,0
5,0,7.4409,0
8,1,7.5659,0
5,1,7.6909,0
7,1,7.816,0
5,1,7.9412,0
7,1,8.0659,0
5,1,8.1912,0
7,1,8.316,0
5,1,8.4409,0
7,1,8.566,0
5,1,8.6908,0
7,1,8.8159,0
5,1,8.9409,0
7,1,9.0662,0
5,0,9.1908,0
7,2,9.3165,0
4,1,9.4407,0
7,1,9.566,0
5,1,9.6912,0
7,1,9.816,0
5,1,9.9409,0
7,1,10.0659,0
5,1,10.1909,0
7,2,10.3158,0
7,1,10.441,0
5,1,10.5662,0
7,1,10.691,0
4,1,10.816,0
5,1,10.9409,0
8,2,11.0658,0
4,0,11.1909,0
7,2,11.3159,0
5,1,11.441,0
7,1,11.566,0
5,1,11.6909,0
7,2,11.8157,0
5,0,11.9411,0
7,2,12.0659,0
4,1,12.1911,0
7,2,12.316,0
5,1,12.4409,0
7,1,12.566,0
5,1,12.6909,0
7,2,12.8162,0
4,1,12.9409,0
7,1,13.066,0
5,2,13.1909,0
7,1,13.316,0
4,1,13.4409,0
7,2,13.566,0
5,1,13.6909,0
7,2,13.8159,0
5,1,13.9409,0
7,2,14.0658,0
4,1,14.1909,0
7,1,14.3159,0
5,1,14.4411,0
6,2,14.566,0
5,1,14.691,0
7,2,14.8159,0
5,1,14.9409,0
6,2,15.066,0
5,1,15.1909,0
7,1,15.3159,0
4,2,15.4409,0
7,2,15.5659,0
5,1,15.6909,0
6,2,15.8159,0
5,1,15.941,0
7,2,16.0661,0
4,0,16.1914,0
7,3,16.3158,0
5,1,16.4408,0
6,2,16.5659,0
5,1,16.6909,0
7,2,16.8161,0
4,1,16.9412,0
7,2,17.066,0
5,1,17.1909,0
6,2,17.3162,0
5,1,17.4412,0
7,2,17.5661,0
4,1,17.6909,0
7,2,17.8159,0
4,1,17.9409,0
7,2,18.0659,0
4,1,18.191,0
7,3,18.3162,0
4,1,18.441,0
7,2,18.5659,0
7,2,18.6909,0
4,1,18.8158,0
6,2,18.9409,0
5,2,19.0659,0
4,1,19.1909,0
7,2,19.3158,0
4,2,19.4409,0
7,1,19.5714,0
4,2,19.6918,0
6,2,19.816,0
5,1,19.9409,0
7,2,20.0659,0
4,2,20.1908,0
6,2,20.3158,0
4,1,20.4409,0
7,3,20.5659,0
4,1,20.6908,0
