WLMouse Beast X Mini Omron Optical (unit 1) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - No Buttons Held
3200
xCount,yCount,Time (ms),buttonflags
-8,0,0,0
-7,1,0.1123,0
-9,0,0.1503,0
-6,0,0.1715,0
-6,1,0.1967,0
-9,0,0.2078,0
-7,0,0.2252,0
-9,0,0.2287,0
-6,1,0.2375,0
-9,0,0.2499,0
-7,0,0.3041,0
-8,0,0.3175,0
-7,0,0.7087,0
-5,0,0.7145,0
-10,0,0.7261,0
-6,1,0.7575,0
-9,0,1.0232,0
-6,0,1.0409,0
-9,0,1.5897,0
-6,0,1.5949,0
-9,0,1.5983,0
-6,0,1.6017,0
-6,0,1.6157,0
-9,0,1.7395,0
-6,0,1.8701,0
-9,0,1.9902,0
-9,0,2.1144,0
-6,0,2.2451,0
-9,0,2.3653,0
-6,0,2.4893,0
-6,0,2.6199,0
-9,0,2.7403,0
-6,0,2.8648,0
-6,0,2.9893,0
-9,0,3.1202,0
-6,0,3.2431,0
-8,0,3.3643,0
-6,0,3.4893,0
-9,0,3.6197,0
-6,0,3.7401,0
-9,0,3.865,0
-6,0,3.9948,0
-5,0,4.1151,0
-9,0,4.2383,0
-6,-1,4.3633,0
-9,0,4.4884,0
-6,0,4.6133,0
-8,0,4.7385,0
-7,0,4.8634,0
-8,-1,4.9882,0
-6,0,5.1134,0
-6,0,5.2382,0
-8,0,5.3633,0
-6,0,5.4884,0
-8,-1,5.6134,0
-6,0,5.7383,0
-9,0,5.8633,0
-6,0,5.9882,0
-8,-1,6.1135,0
-6,0,6.2384,0
-6,0,6.3634,0
-8,-1,6.4883,0
-6,0,6.6133,0
-8,0,6.7383,0
-6,0,6.8633,0
-8,-1,6.9886,0
-6,0,7.1465,0
-8,-1,7.2652,0
-6,0,7.4047,0
-9,-1,7.5219,0
-5,0,7.6448,0
-9,-1,7.7809,0
-5,0,7.9035,0
-9,0,8.0231,0
-5,-1,8.159,0
-6,0,8.2827,0
-8,-1,8.4038,0
-6,-1,8.4984,0
-8,0,8.6658,0
-6,0,8.7891,0
-6,-1,8.9175,0
-8,0,9.0444,0
-5,-1,9.1573,0
-9,-1,9.2892,0
-6,0,9.418,0
-8,-1,9.5294,0
-5,0,9.6401,0
-8,-1,9.7743,0
-6,0,9.9009,0
-8,-1,10.0282,0
-6,-1,10.1488,0
-5,0,10.2525,0
-8,-1,10.3879,0
-5,0,10.5101,0
-9,-1,10.6627,0
-5,-1,10.792,0
-8,-1,10.9009,0
-6,0,11.0193,0
-8,-1,11.142,0
-5,0,11.2711,0
-5,-1,11.394,0
-9,-1,11.5331,0
-5,0,11.6669,0
-8,-1,11.779,0
-5,-1,11.9043,0
-8,-1,12.0352,0
-6,0,12.1732,0
-8,-2,12.2463,0
-5,0,12.3677,0
-8,-1,12.4908,0
-5,-1,12.6153,0
-6,-1,12.7613,0
-8,-1,12.9157,0
-5,-1,13.0026,0
-8,-1,13.1631,0
-5,0,13.2569,0
-8,-2,13.4031,0
-5,0,13.5592,0
-9,-2,13.6521,0
-5,0,13.7711,0
-5,-1,13.9058,0
-8,-1,14.0194,0
-5,-1,14.1162,0
-8,-1,14.2775,0
-5,-1,14.4203,0
-8,-1,14.535,0
-5,-1,14.652,0
-8,-1,14.7886,0
-5,-1,14.9237,0
-5,-1,15.0494,0
-7,-1,15.1493,0
-5,-2,15.2872,0
-8,-1,15.408,0
-5,-1,15.5483,0
-8,-1,15.6257,0
-5,-1,15.792,0
-7,-1,15.895,0
-5,-1,15.999,0
-6,-1,16.1447,0
-7,-2,16.2414,0
-7,-1,16.4231,0
-6,-1,16.545,0
