WLMouse Beast X Mini Omron Optical (unit 2) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - Mouse 1+2 Held
3200
xCount,yCount,Time (ms),buttonflags
1,-3,0,0
1,-4,0.0061,0
1,-2,0.0191,0
1,-3,0.0266,0
2,-4,0.0302,0
1,-3,0.0336,0
2,-4,0.0421,0
0,-2,0.3357,0
2,-4,0.3425,0
1,-2,0.3588,0
2,-4,0.462,0
1,-2,0.9662,0
1,-4,0.9772,0
1,-3,0.9809,0
2,-3,0.9905,0
1,-2,1.0859,0
2,-4,1.21,0
1,-3,1.3358,0
2,-4,1.4658,0
1,-2,1.5862,0
2,-4,1.7114,0
1,-3,1.8407,0
2,-3,1.9615,0
2,-3,2.0907,0
1,-3,2.2114,0
2,-3,2.3358,0
2,-3,2.4657,0
1,-3,2.5864,0
2,-4,2.7109,0
1,-2,2.8407,0
3,-4,2.9612,0
1,-2,3.0859,0
2,-4,3.2111,0
2,-2,3.3398,0
2,-4,3.4606,0
1,-2,3.585,0
2,-4,3.7099,0
2,-2,3.8348,0
2,-4,3.9599,0
1,-2,4.0848,0
3,-4,4.2098,0
1,-2,4.3349,0
2,-4,4.4598,0
2,-2,4.5847,0
2,-4,4.7098,0
2,-3,4.8354,0
2,-3,4.9599,0
2,-2,5.085,0
2,-4,5.2097,0
2,-3,5.3348,0
2,-3,5.4597,0
2,-3,5.5847,0
3,-3,5.7105,0
2,-2,5.8347,0
2,-4,5.9597,0
2,-3,6.0847,0
3,-3,6.2099,0
1,-2,6.3347,0
3,-4,6.4601,0
2,-3,6.5849,0
3,-3,6.7099,0
1,-2,6.8348,0
4,-4,6.9597,0
1,-2,7.0847,0
3,-4,7.2097,0
2,-2,7.3397,0
3,-4,7.4605,0
2,-2,7.5849,0
3,-3,7.7098,0
2,-3,7.8348,0
3,-4,7.9597,0
2,-2,8.0864,0
3,-3,8.2099,0
2,-3,8.3348,0
3,-3,8.4597,0
2,-3,8.5848,0
3,-3,8.71,0
3,-4,8.835,0
2,-3,8.961,0
3,-1,9.0849,0
3,-4,9.2098,0
2,-3,9.3348,0
3,-3,9.4597,0
2,-2,9.5847,0
4,-4,9.7097,0
2,-2,9.8348,0
4,-4,9.9597,0
2,-2,10.0847,0
3,-3,10.2097,0
2,-3,10.335,0
4,-3,10.4599,0
2,-2,10.5848,0
4,-4,10.7097,0
2,-2,10.8348,0
3,-3,10.9607,0
3,-3,11.0847,0
3,-3,11.2101,0
3,-3,11.3349,0
3,-3,11.4598,0
2,-2,11.5848,0
4,-4,11.7098,0
3,-2,11.8349,0
4,-3,11.9598,0
2,-3,12.0847,0
3,-3,12.2098,0
3,-3,12.3346,0
4,-3,12.4598,0
2,-2,12.5851,0
4,-4,12.7099,0
3,-2,12.8351,0
4,-3,12.96,0
2,-3,13.0848,0
4,-3,13.2098,0
3,-2,13.3347,0
4,-3,13.4597,0
2,-2,13.5846,0
4,-4,13.7097,0
3,-2,13.8348,0
4,-3,13.9598,0
3,-2,14.0898,0
4,-4,14.2106,0
3,-2,14.335,0
4,-3,14.4599,0
3,-2,14.5848,0
4,-4,14.7098,0
3,-2,14.8349,0
4,-3,14.9599,0
3,-3,15.0849,0
4,-3,15.2099,0
3,-2,15.3349,0
4,-3,15.4598,0
3,-2,15.5848,0
4,-3,15.7102,0
3,-2,15.8348,0
4,-4,15.9597,0
3,-2,16.0848,0
5,-3,16.2098,0
3,-2,16.3347,0
5,-3,16.4597,0
2,-3,16.585,0
5,-3,16.7099,0
3,-2,16.8348,0
5,-3,16.9598,0
3,-2,17.0848,0
5,-3,17.2099,0
3,-3,17.3349,0
4,-3,17.4598,0
3,-2,17.5848,0
5,-3,17.71,0
3,-2,17.8354,0
5,-3,17.9598,0
3,-3,18.0848,0
5,-2,18.21,0
3,-2,18.3348,0
5,-4,18.4598,0
3,-2,18.5847,0
5,-3,18.7098,0
4,-2,18.8348,0
4,-2,18.9598,0
4,-3,19.0849,0
5,-3,19.2099,0
3,-2,19.3347,0
5,-3,19.4598,0
3,-2,19.5848,0
5,-3,19.7098,0
4,-2,19.8348,0
5,-3,19.9598,0
3,-2,20.0848,0
5,-3,20.2098,0
4,-2,20.3351,0
5,-3,20.46,0
4,-2,20.585,0
5,-4,20.7098,0
3,-2,20.8348,0
5,-2,20.9598,0
4,-2,21.0848,0
6,-3,21.2098,0
3,-2,21.3348,0
5,-3,21.4599,0
3,-2,21.5848,0
6,-3,21.7099,0
4,-2,21.8348,0
5,-3,21.9597,0
4,-2,22.085,0
5,-3,22.2098,0
4,-2,22.3348,0
6,-3,22.4598,0
3,-2,22.5848,0
6,-2,22.7097,0
