WLMouse Beast X Mini Omron Optical (unit 2) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - Mouse 1 Held
3200
xCount,yCount,Time (ms),buttonflags
4,0,0,0
7,0,0.0468,0
4,0,0.0507,0
7,0,0.0548,0
5,0,0.0781,0
7,0,0.1007,0
4,0,0.1046,0
7,0,0.1185,0
5,0,0.4054,0
7,0,0.4107,0
4,0,0.5196,0
7,0,0.9671,0
5,0,0.9723,0
7,0,0.9769,0
5,0,0.9804,0
6,0,1.0638,0
5,0,1.1881,0
7,0,1.3278,0
5,1,1.4387,0
7,0,1.5631,0
4,0,1.6879,0
7,0,1.8132,0
5,0,1.938,0
7,0,2.0629,0
4,1,2.188,0
7,0,2.313,0
5,0,2.437,0
7,0,2.562,0
4,1,2.6871,0
7,0,2.812,0
5,0,2.9444,0
7,0,3.0688,0
4,0,3.1879,0
7,1,3.3125,0
5,0,3.4372,0
7,0,3.562,0
4,1,3.6871,0
7,0,3.812,0
5,0,3.937,0
7,1,4.0621,0
5,0,4.187,0
7,1,4.3121,0
4,0,4.4369,0
7,1,4.562,0
5,0,4.6874,0
7,0,4.8123,0
4,0,4.937,0
7,1,5.0621,0
5,0,5.187,0
7,1,5.312,0
7,1,5.4371,0
5,0,5.562,0
7,1,5.6872,0
4,0,5.8121,0
7,1,5.937,0
5,0,6.062,0
4,1,6.187,0
8,0,6.312,0
4,1,6.4371,0
7,0,6.5622,0
5,1,6.6871,0
7,0,6.812,0
4,1,6.9373,0
8,1,7.0622,0
4,0,7.1873,0
7,1,7.3122,0
5,0,7.4371,0
6,1,7.562,0
6,1,7.6871,0
6,1,7.8121,0
5,0,7.9371,0
6,1,8.062,0
5,1,8.1872,0
7,0,8.312,0
5,1,8.4371,0
6,1,8.5619,0
5,1,8.6873,0
7,0,8.8122,0
4,1,8.937,0
7,0,9.0621,0
5,1,9.1871,0
7,1,9.312,0
4,1,9.437,0
7,1,9.5671,0
5,0,9.6972,0
7,1,9.8128,0
4,1,9.9371,0
7,1,10.0621,0
5,1,10.1871,0
6,1,10.3167,0
5,1,10.4381,0
6,1,10.5622,0
5,0,10.687,0
7,2,10.8126,0
4,0,10.9372,0
7,2,11.0621,0
4,0,11.1871,0
7,2,11.3184,0
5,0,11.4377,0
6,1,11.5622,0
5,1,11.687,0
7,1,11.812,0
4,1,11.9379,0
7,2,12.0622,0
5,0,12.187,0
6,1,12.312,0
5,1,12.4369,0
7,2,12.5622,0
4,0,12.687,0
7,2,12.812,0
4,1,12.937,0
7,1,13.062,0
4,1,13.187,0
7,1,13.312,0
4,1,13.4372,0
7,1,13.562,0
5,1,13.687,0
6,2,13.8129,0
4,1,13.937,0
7,1,14.062,0
4,1,14.1869,0
7,1,14.3184,0
4,1,14.437,0
7,1,14.5621,0
5,2,14.6873,0
6,1,14.8122,0
4,1,14.937,0
7,1,15.062,0
4,1,15.187,0
7,2,15.312,0
4,1,15.437,0
7,1,15.5621,0
4,1,15.687,0
6,2,15.812,0
5,1,15.9373,0
6,1,16.0622,0
4,1,16.187,0
7,2,16.312,0
5,1,16.4372,0
6,1,16.5619,0
4,1,16.687,0
7,2,16.8121,0
4,1,16.9369,0
7,2,17.0621,0
4,1,17.1871,0
7,1,17.3122,0
4,2,17.4371,0
7,1,17.5619,0
4,1,17.687,0
6,2,17.812,0
4,1,17.937,0
7,2,18.0621,0
4,1,18.187,0
6,2,18.3119,0
4,1,18.437,0
6,2,18.562,0
5,1,18.6873,0
6,2,18.812,0
4,1,18.9369,0
6,1,19.0619,0
5,2,19.1869,0
6,2,19.312,0
4,1,19.437,0
7,2,19.562,0
4,1,19.687,0
6,2,19.8124,0
4,2,19.937,0
6,1,20.0621,0
5,1,20.1871,0
6,2,20.3122,0
6,2,20.437,0
4,1,20.562,0
6,2,20.6869,0
4,2,20.8124,0
6,1,20.9369,0
4,2,21.062,0
7,1,21.1872,0
4,2,21.3121,0
4,1,21.437,0
6,2,21.5621,0
4,1,21.6869,0
6,3,21.812,0
4,1,21.937,0
6,1,22.062,0
4,2,22.187,0
6,2,22.3119,0
4,1,22.4373,0
6,2,22.5621,0
4,2,22.687,0
6,2,22.8121,0
4,1,22.9369,0
6,2,23.062,0
4,1,23.1871,0
6,2,23.312,0
6,3,23.437,0
4,1,23.562,0
6,2,23.6872,0
4,2,23.8121,0
6,2,23.937,0
4,1,24.062,0
6,3,24.1872,0
4,1,24.3121,0
6,2,24.437,0
3,1,24.5624,0
6,3,24.687,0
4,1,24.812,0
6,3,24.9369,0
4,1,25.0622,0
5,2,25.1871,0
4,2,25.312,0
6,2,25.437,0
4,2,25.5619,0
5,2,25.6871,0
6,2,25.8121,0
3,2,25.937,0
4,1,26.062,0
6,3,26.1869,0
4,1,26.3119,0
