WLMouse Beast X Mini Omron Optical (unit 2) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - No Buttons Held
3200
xCount,yCount,Time (ms),buttonflags
-2,2,0,0
-2,3,0.0229,0
-2,2,0.0441,0
-3,2,0.0494,0
-2,3,0.0707,0
-2,2,0.0813,0
-3,3,0.1024,0
-2,2,0.1141,0
-2,2,0.1209,0
-2,3,0.1437,0
-2,2,0.1672,0
-3,3,0.1904,0
-2,1,0.2029,0
-3,3,0.2184,0
-2,2,0.2256,0
-2,3,0.2331,0
-2,2,0.2509,0
-3,2,0.2712,0
-2,2,0.2902,0
-3,3,0.3152,0
-3,2,0.3273,0
-3,3,0.3388,0
-2,1,0.3502,0
-3,3,0.3614,0
-2,2,0.3722,0
-3,3,0.3929,0
-2,1,0.4181,0
-3,3,0.4425,0
-2,2,0.4491,0
-3,3,0.4638,0
-3,1,0.4752,0
-3,3,0.4867,0
-2,2,0.4998,0
-3,2,0.522,0
-3,2,0.5374,0
-3,3,0.5624,0
-2,2,0.573,0
-4,2,0.5852,0
-2,2,0.5974,0
-4,2,0.6269,0
-2,2,0.6468,0
-3,3,0.665,0
-3,1,0.6863,0
-3,3,0.6984,0
-4,3,0.7021,0
-2,1,6.56,0
-4,3,6.5718,0
-2,2,6.5838,0
-4,2,6.5958,0
-2,2,6.6082,0
-4,2,6.6218,0
-3,2,6.6496,0
-3,3,6.6707,0
-2,1,6.6965,0
-4,3,6.7067,0
-3,1,6.7172,0
-3,3,6.7286,0
-3,1,6.7402,0
-4,3,6.756,0
-2,1,6.788,0
-4,2,6.8117,0
-3,2,6.837,0
-4,2,6.8485,0
-2,2,6.86,0
-4,3,6.8832,0
-3,1,6.8957,0
-4,2,6.9178,0
-2,2,6.9387,0
-4,3,6.9542,0
-3,1,6.9577,0
-4,2,6.9664,0
-2,2,6.9747,0
-4,2,6.9866,0
-3,2,6.999,0
-4,2,7.0298,0
-3,1,7.051,0
-4,3,7.0718,0
-3,1,7.0834,0
-4,2,7.0949,0
-3,2,7.1069,0
-4,2,7.1141,0
-3,2,7.1182,0
-4,2,7.134,0
-3,2,7.1584,0
-4,2,7.1939,0
-3,1,7.2169,0
-4,2,7.2285,0
-3,2,7.2493,0
-4,2,7.2685,0
-3,2,7.2825,0
-5,2,7.3033,0
-2,1,7.3174,0
-5,2,7.3298,0
-3,2,7.3421,0
-5,2,7.3575,0
-2,1,7.369,0
-5,2,7.3875,0
-3,2,7.413,0
-4,2,7.4285,0
-4,1,7.6338,0
-4,2,7.6467,0
-3,2,8.3296,0
-4,1,8.3415,0
-3,2,8.3536,0
-5,2,8.3654,0
-3,1,8.3819,0
-5,2,8.4025,0
-3,1,8.5212,0
-5,2,8.6296,0
-3,2,8.7502,0
-5,2,8.8744,0
-3,1,8.9993,0
-4,2,9.1243,0
-5,1,9.2494,0
-3,2,9.3742,0
-5,2,9.4994,0
-3,1,9.6248,0
-5,2,9.7494,0
-3,1,9.877,0
-5,2,10.0009,0
-4,1,10.1249,0
-5,2,10.2493,0
-3,1,10.3744,0
-5,2,10.4994,0
-3,1,10.6243,0
-5,2,10.7493,0
-3,1,10.8743,0
-5,2,10.9993,0
-4,1,11.1242,0
-5,2,11.2494,0
-3,1,11.3755,0
-5,1,11.5005,0
-3,2,11.6255,0
-5,2,11.7504,0
-4,1,11.8753,0
-5,1,12.0004,0
-3,2,12.1253,0
-5,1,12.2505,0
-4,1,12.3734,0
-5,2,12.4983,0
-3,1,12.6233,0
-6,1,12.7484,0
-3,1,12.8733,0
-5,2,12.9983,0
-4,1,13.1233,0
-5,2,13.2484,0
-4,1,13.3756,0
-5,2,13.5004,0
-4,1,13.6252,0
-5,1,13.7504,0
-4,1,13.8752,0
-5,2,14.0002,0
-4,1,14.1252,0
-5,2,14.2501,0
-4,1,14.3753,0
-5,1,14.5002,0
-4,1,14.6251,0
-5,2,14.7502,0
-4,1,14.8751,0
-6,1,15.0002,0
-3,1,15.1252,0
-6,2,15.252,0
-3,1,15.3734,0
-6,1,15.4984,0
-4,1,15.6233,0
-6,2,15.7484,0
-3,1,15.8733,0
-6,1,15.9983,0
-5,2,16.1236,0
-4,0,16.2484,0
-6,2,16.3733,0
-4,1,16.4983,0
-6,1,16.6233,0
-3,1,16.7483,0
-6,1,16.8733,0
-4,1,16.9983,0
-4,1,17.131,0
-6,1,17.2494,0
-4,1,17.3735,0
-5,2,17.4993,0
-4,1,17.6234,0
-6,1,17.7486,0
-4,0,17.8734,0
-6,2,17.9984,0
-4,1,18.1682,0
-6,1,18.2617,0
-4,1,18.3748,0
-6,1,18.526,0
-6,1,18.6637,0
-4,1,18.7869,0
-6,1,18.9208,0
-4,1,19.0374,0
-6,1,19.1567,0
-3,1,19.2956,0
-7,1,19.4357,0
-6,1,19.5333,0
-4,1,19.6825,0
-4,1,19.8121,0
-6,1,19.9127,0
-4,0,20.0417,0
-6,2,20.179,0
-4,0,20.2956,0
-6,1,20.3953,0
-4,1,20.5077,0
-6,1,20.6728,0
-4,1,20.7824,0
-7,1,20.9167,0
-4,0,21.0506,0
-6,1,21.1668,0
-4,1,21.2825,0
-6,1,21.4316,0
-4,0,21.5512,0
-6,2,21.6733,0
-4,0,21.759,0
-6,1,21.922,0
-5,0,22.0413,0
-6,1,22.1799,0
-4,1,22.2907,0
-7,1,22.4259,0
-4,0,22.5449,0
-6,1,22.681,0
-4,0,22.7981,0
-7,1,22.9079,0
-4,1,23.0614,0
-6,0,23.1572,0
-5,1,23.2795,0
-6,1,23.4257,0
-4,0,23.5021,0
-7,1,23.6686,0
-4,0,23.8062,0
-6,1,23.9147,0
-5,1,24.0376,0
-6,0,24.1341,0
-4,1,24.2846,0
-7,1,24.4243,0
-4,0,24.5515,0
-6,0,24.6557,0
-5,1,24.7788,0
-7,1,24.9067,0
-3,0,25.0569,0
-7,0,25.1693,0
-4,1,25.2927,0
-7,1,25.4139,0
-4,0,25.5316,0
-7,1,25.6746,0
-4,0,25.8064,0
-7,1,25.9154,0
-4,0,26.0368,0
-7,1,26.1747,0
-4,0,26.2955,0
-7,1,26.4262,0
-4,0,26.5404,0
-7,0,26.6849,0
-4,1,26.7739,0
-7,0,26.9296,0
-5,0,27.0485,0
-6,1,27.1472,0
-5,0,27.2883,0
-6,0,27.3986,0
-4,1,27.5421,0
-7,0,27.6716,0
-5,0,27.7889,0
-6,1,27.9226,0
-5,0,28.0363,0
-6,0,28.1784,0
-5,1,28.2961,0
-7,0,28.3817,0
-4,0,28.55,0
-7,0,28.6781,0
-4,1,28.8032,0
-8,0,28.9256,0
-4,0,29.0641,0
-7,0,29.1532,0
-4,1,29.2963,0
-7,0,29.4233,0
-6,0,29.5548,0
-5,0,29.67,0
-7,0,29.7939,0
-4,0,29.8802,0
-7,1,30.0406,0
-5,0,30.1846,0
-6,0,30.2963,0
-5,0,30.3826,0
-6,0,30.5338,0
-5,0,30.6627,0
-7,0,30.8038,0
-4,0,30.9277,0
-7,0,31.0338,0
-4,0,31.1726,0
-7,1,31.3038,0
-5,0,31.4118,0
-6,0,31.5465,0
-5,0,31.6646,0
-7,0,31.7985,0
-4,0,31.9006,0
-7,0,32.029,0
-5,0,32.1677,0
-7,0,32.2997,0
-4,0,32.4195,0
-7,0,32.5324,0
-5,0,32.6574,0
-7,0,32.7907,0
-4,0,32.9149,0
-8,0,33.0431,0
-4,0,33.1695,0
-7,0,33.2856,0
-5,0,33.4332,0
-7,-1,33.5463,0
-4,0,33.6693,0
-7,0,33.782,0
-5,0,33.91,0
-6,0,34.062,0
-5,0,34.1695,0
-7,0,34.2771,0
-4,0,34.3832,0
-7,0,34.5428,0
-5,-1,34.6715,0
-7,0,34.7936,0
-5,0,34.9104,0
-7,0,35.0456,0
-4,0,35.1736,0
-7,0,35.2885,0
-5,-1,35.4161,0
-7,0,35.5525,0
-4,0,35.6748,0
-7,0,35.7788,0
-5,-1,35.9225,0
-7,0,36.0499,0
-7,0,36.1749,0
-5,-1,36.2954,0
-6,0,36.408,0
-5,0,36.5473,0
-7,-1,36.6745,0
-4,0,36.7877,0
-5,0,36.8784,0
-7,0,37.0487,0
-5,-1,37.1588,0
-6,0,37.2811,0
-5,-1,37.4158,0
-7,0,37.5243,0
-5,-1,37.649,0
-6,0,37.7953,0
-5,0,37.9235,0
-7,-1,38.0466,0
-4,0,38.1573,0
-7,-1,38.2818,0
